difficulty,group,question,content,hint,regex,answer,image,order
easy,history,Name one war fought by the United States in the 1900s?*,"The United States fought five wars in the 1900s: World War I, World War II, the Korean War, the Vietnam War, and the (Persian) Gulf War. 

World War I began in 1914. It was a long and bloody struggle. The United States entered the war in 1917 after German submarines attacked British and U.S. ships, and the Germans contacted Mexico about starting a war against the United States. The war ended in 1918 when the Allied Powers (led by Britain, France, Italy, and the United States) defeated the Central Powers (led by Germany, Austria-Hungary, and the Ottoman Empire). The Treaty of Versailles officially ended the war in 1919. World War I was called “the war to end all wars.” 

World War II began in 1939 when Germany invaded Poland. France and Great Britain then declared war on Germany. Germany had alliances with Italy and Japan, and together they formed the Axis powers. The United States entered World War II in 1941, after the Japanese attacked Pearl Harbor, Hawaii. The United States joined France, Great Britain, and the Soviet Union as the Allied powers and led the 1944 invasion of France known as D-Day. The liberation of Europe from German power was completed by May 1945. World War II did not end until Japan surrendered in September 1945. 

The Korean War began in 1950 when the North Korean Army moved across the 38th parallel into South Korea. The 38th parallel was a boundary established after World War II. This boundary separated the northern area of Korea, which was under communist influence, from the southern area of Korea, which was allied with the United States. At the time, the United States was providing support to establish a democratic South Korean government. The United States provided military support to stop the advance of the North Korean Army. In the Korean conflict, democratic governments directly confronted communist governments. The fighting ended in 1953, with the establishment of the countries of North Korea and South Korea. 

From 1959 to 1975, United States Armed Forces and the South Vietnamese Army fought against the North Vietnamese in the Vietnam War. The United States supported the democratic government in the south of the country to help it resist pressure from the communist north. The war ended in 1975 with the fall of Saigon, the capital of South Vietnam. In 1976, Vietnam was under total communist control. Almost 60,000 American men and women in the military died or were missing as a result of the Vietnam War. 

On August 2, 1990, the Persian Gulf War began when Iraq invaded Kuwait. This invasion put the Iraqi Army closer to Saudi Arabia and its oil reserves, which supplied much of the world with oil. The United States and many other countries wanted to drive the Iraqi Army out of Kuwait and prevent it from invading other nearby countries. In January 1991, the United States led an international coalition of forces authorized by the United Nations into battle against the Iraqi Army. Within a month, the coalition had driven the Iraqis from Kuwait. The coalition declared a cease-fire on February 28, 1991.

",There were two world wars during the 1900s.,/(?=.*war)(?=.*(world|korean|vietnam|gulf|persian)).*/ig,World War 1/ World War 2/ Korean War/ Vietnam War/ Gulf War,http://upload.wikimedia.org/wikipedia/commons/d/dc/British_55th_Division_gas_casualties_10_April_1918.jpg,74
medium,history,Who was President during World War 1?,"Woodrow Wilson was the 28th president of the United States. President Wilson served two terms from 1913 to 1921. During his first term, he was able to keep the United States out of World War I. By 1917, Wilson knew this was no longer possible, and he asked Congress to declare war on Germany. On January 8, 1918, he made a speech to Congress outlining “Fourteen Points” that justified the war and called for a plan to maintain peace after the war. President Wilson said, “We entered this war because violations of right had occurred which touched us to the quick and made the life of our own people impossible unless they were corrected and the world secure once for all against their recurrence.” The war ended that year and Wilson traveled to Paris to work out the details of the surrender by Germany.","His last name starts with a ""W.""",/(woodrow wilson|wilson)/ig,(Woodrow) Wilson/ Woodrow Wilson,http://upload.wikimedia.org/wikipedia/commons/3/37/President_Woodrow_Wilson.jpg,75
hard,history,Who was President during the Great Depression and World War 2?,"Franklin Delano Roosevelt (FDR) was president of the United States from 1933 until 1945. He was elected during the Great Depression, which was a period of economic crisis after the stock market crash of 1929. His program for handling the crisis was called “the New Deal.” It included programs to create jobs and provided benefits and financial security for workers across the country. Under his leadership, the Social Security Administration (SSA) was established in 1935. Roosevelt led the nation into World War II after Japan’s attack on Pearl Harbor in December 1941. He gave the country a sense of hope and strength during a time of great struggle. Roosevelt was elected to office four times. He died in 1945, early in his fourth term as president. His wife, Eleanor Roosevelt, was a human rights leader throughout her lifetime.","His last name starts with a ""R.""",/(franklin roosevelt|roosevelt)/ig,(Franklin) Roosevelt,http://upload.wikimedia.org/wikipedia/commons/b/b8/FDR_in_1933.jpg,76
easy,history,Who did the United States fight in World War 2?,"The Japanese bombed U.S. naval bases in a surprise attack on Pearl Harbor, Hawaii, on December 7, 1941. The next day, President Franklin D. Roosevelt, as commander in chief of the military, obtained an official declaration of war from Congress. Japan’s partners in the Axis, Italy and Germany, then declared war on the United States. The Allies fought against the German Nazis, the Italian Fascists, and Japan’s military empire. This was truly a world war, with battles fought in Europe, Africa, Asia, and the Pacific Ocean.",What country were the Nazi's from?,/(japan|Germany|italy)/ig,"Japan, Germany, Italy",http://upload.wikimedia.org/wikipedia/commons/7/78/Ww2_allied_advance_siegfried_line.jpg,77
hard,history,"Before he was President, Eisenhower was a general. What war was he in?","Before becoming the 34th president of the United States in 1953, Dwight D. Eisenhower served as a major general in World War II. As commander of U.S. forces and supreme commander of the Allies in Europe, he led the successful D-Day invasion of Normandy, France, on June 6, 1944. In 1952, he retired from active service in the military. He was elected president of the United States later that year. As president, he established the interstate highway system and in 1953, the Department of Health, Education, and Welfare (now known as Health and Human Services) was created. He oversaw the end of the Korean War. Eisenhower left the White House in 1961, after serving two terms as president.",He was in one of the world wars.,/(?=.*(world war|ww))(?=.*(2|two)).*/ig,World War 2 / WW2,http://upload.wikimedia.org/wikipedia/commons/e/ef/RIAN_archive_44732_Soviet_soldiers_attack_house.jpg,78
medium,history,"During the Cold War, what was the main concern of the United States?","The main concern of the United States during the Cold War was the spread of communism. The Soviet Union (Union of Soviet Socialist Republics, or USSR) was a powerful nation that operated under the principles of communism. The United States and its allies believed that a democratic government and a capitalist economy were the best ways to preserve individual rights and freedoms. The United States and its allies feared the expansion of communism to countries outside the Soviet Union. The Cold War began shortly after the end of World War II and lasted for more than 40 years. It ended with the fall of the Berlin Wall in 1989, the reunification of East and West Germany in 1990, and the breakup of the USSR in 1991.",What is the opposite of Capitalism?,/(communism)/ig,Communism,http://upload.wikimedia.org/wikipedia/commons/5/5d/Berlinermauer.jpg,79
medium,rights,What movement tried to end racial discrimination?,"The modern civil rights movement in the United States began in 1954 when the Supreme Courtruled that racial segregation in public schools was unconstitutional. The goal of the civil rightsmovement was to end racial discrimination against African Americans and to gain full and equal rights for Americans of all races. Using nonviolent strategies such as bus boycotts, sit-ins, and marches, people came together to demand social change. As a result, Congress passed the Civil Rights Act of 1964 and the Voting Rights Act of 1965. The Civil Rights Act made segregation in public facilities and racial discrimination in employment and education illegal. The law protects African Americans, women, and others from discrimination. The Voting Rights Act banned literacy tests and other special requirements that had been used to stop African Americans from registering to vote.",Martin Luther King Jr. helped lead this movement. ,/(?=.*civil)(?=.*rights).*/ig,civil rights (movement),http://upload.wikimedia.org/wikipedia/commons/c/c3/1963_march_on_washington.jpg,80
hard,rights,"What did Martin Luther King, Jr. do?*","Martin Luther King, Jr. was a Baptist minister and civil rights leader. He worked hard to make America a more fair, tolerant, and equal nation. He was the main leader of the civil rights movement of the 1950s and 1960s. Because of this movement, civil rights laws were passed to protect voting rights and end racial segregation. King believed in the ideals of the Declaration of Independence—that every citizen deserves America’s promise of equality and justice. In 1963, King delivered his famous “I Have a Dream” speech, which imagines an America in which people of all races exist together equally. He was only 35 years old when he received the Nobel Peace Prize in 1964 for his civil rights work. King was killed on April 4, 1968.","He gave the famous ""I Have a Dream"" speech.",/(?=.*civil)(?=.*rights).*|(?=.*equal)(?=.*americans).*/ig,fought for civil rights/worked for equality for all Americans,http://upload.wikimedia.org/wikipedia/commons/b/ba/USMC-09611.jpg,81
medium,history,"What major event happened on September 11, 2001, in the United States?","On September 11, 2001, four airplanes flying out of U.S. airports were taken over by terrorists from the Al-Qaeda network of Islamic extremists. Two of the planes crashed into the World Trade Center’s Twin Towers in New York City, destroying both buildings. One of the planes crashed into the Pentagon in Arlington, Virginia. The fourth plane, originally aimed at Washington, D.C., crashed in a field in Pennsylvania. Almost 3,000 people died in these attacks, most of them civilians. This was the worst attack on American soil in the history of the nation.",It was related to the World Trade Center's Twin Towers in New York.,/(?=.*terrorist)(?=.*(attack|US|United States|country)).*|(?=.*(world trade|twin|towers)).*/lg,Terrorsits attacked the United States,http://upload.wikimedia.org/wikipedia/commons/e/e5/North_face_south_tower_after_plane_strike_9-11.jpg,82
medium,history,Name one American Indian tribe in the United States.,"American Indians lived in North America for thousands of years before the European settlers arrived. Today there are more than 500 federally recognized tribes in the United States. Each tribe has its own social and political system. American Indian cultures are different from one tribe to another, with different languages, beliefs, stories, music, and foods. Earlier in their history, some tribes settled in villages and farmed the land for food. Other tribes moved frequently as they hunted and gathered food and resources. The federal government signed treaties with American Indian tribes to move the tribes to reservations. These reservations are recognized as domestic, dependent nations","One of the tribes' names starts with a ""C.""",/(Cherokee|Navajo|Sioux|Chippewa|Choctaw|Pueblo|Apache|Iroquois|Creek|Blackfeet|Seminole|Cheyenne|Arawak|Shawnee|Mohegan|Huron|Oneida|Lakota|Crow|Teton|Hopi|Inuit)/ig,Cherokee/Navajo/Sioux/Chippewa/Choctaw/Pueblo/Apache/Iroquois/Creek/Blackfeet/Seminole/Cheyenne/Arawak/Shawnee/Mohegan/Huron/Oneida/Lakota/Crow/Teton/Hopi/Inuit,https://c1.staticflickr.com/1/226/494018588_84038d6e77.jpg,83
medium,geography,Name one of the two longest rivers in the United States.,"The Mississippi River is one of America’s longest rivers. It runs through 10 U.S. states. The Mississippi River was used by American Indians for trade, food, and water before Europeans came to America. It is nicknamed the “Father of Waters.” Today, the Mississippi River is a major shipping route and a source of drinking water for millions of people. The Missouri River is also one of the longest rivers in the United States. The Missouri River is actually longer than the Mississippi River. It starts in Montana and flows into the Mississippi River. In 1673, the French explorers Jolliet and Marquette were the first Europeans to find the Missouri River. It is nicknamed “Big Muddy” because of its high silt content",One of them is by Mississippi.,/(Missouri|Mississippi)/ig,Missouri (River) / Mississippi (River),http://upload.wikimedia.org/wikipedia/commons/8/80/Mississippi_watershed_map_1.jpg,84
easy,geography,What ocean is on the West Coast of the United States?,"The Pacific Ocean is on the West Coast of the United States. It is the largest ocean on Earth and covers one-third of the Earth’s surface. The Pacific Ocean is important to the U.S. economy because of its many natural resources such as fish. Europeans first learned about the Pacific Ocean in the 16th century. Spanish explorer Vasco Núñez de Balboa reached the ocean in 1514 when he crossed the Isthmus of Panama. Later, Ferdinand Magellan sailed across the Pacific as he traveled around the Earth in search of spices. “Pacific” means “peaceful.” Magellan named the Pacific Ocean the “peaceful sea,” because there were no storms on his trip from Spain to the spice world. The U.S. states that border the Pacific Ocean are Alaska, Washington, Oregon, California, and Hawaii",Hawaii is in this Ocean. This ocean also touches Asia.,/(pacific)/ig,Pacific (Ocean),http://upload.wikimedia.org/wikipedia/commons/5/5a/Pacific_Ocean_-_en_IHO.png,85
easy,geography,What ocean is on the East Coast of the United States?,"The Atlantic Ocean is on the East Coast of the United States. The ocean was named after the giant Atlas from Greek mythology. It is the second largest ocean in the world. The Atlantic Ocean is a major sea route for ships. It is one of the most frequently traveled oceans in the world. The Atlantic Ocean is also a source of many natural resources. The Atlantic Ocean was formed by the separation of the North American and European continents millions of years ago. The ocean covers about one-fifth of the Earth’s surface. In the middle of the ocean is the Mid-Atlantic Ridge, an immense underwater mountain range that extends the length of the Atlantic and is a source of volcanic activity. The U.S. states that border the Atlantic Ocean are Connecticut, Delaware, Florida, Georgia, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Rhode Island, South
Carolina, and Virginia.",This ocean also touches Europe and Africa.,/(atlantic)/ig,Atlantic (Ocean),http://upload.wikimedia.org/wikipedia/commons/4/47/Atlantic_Ocean_-_en.png,86
medium,geography,Name one US territory,"There are five major U.S. territories: American Samoa, Guam, the Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands. A U.S. territory is a partially self-governing piece of land under the authority of the U.S. government. U.S. territories are not states, but they do have representation in Congress. Each territory is allowed to send a delegate to the House of Representatives. The people who live in American Samoa are considered U.S. nationals; the people in the other four territories are U.S. citizens. Citizens of the territories can vote in primary elections for president, but they cannot vote in the general elections for president.","Think about places that are part of the US, but they are not states. Note: DC is not a US territory.",/(Puerto Rico|Virgin Islands|Samoa|Mariana Islands|Guam)/ig,Puerto Rico/US Virgin Islands/American Samoa/Northern Mariana Islands/Guam,http://i.imgur.com/om2LNhh.jpg,87
easy,geography,Name one state that borders Canada,"The northern border of the United States stretches more than 5,000 miles from Maine in the East to Alaska in the West. There are 13 states on the border with Canada. The Treaty of Paris of 1783 established the official boundary between Canada and the United States after the Revolutionary War. Since that time, there have been land disputes, but they have been resolved through treaties. The International Boundary Commission, which is headed by two commissioners, one American and one Canadian, is responsible for maintaining the boundary.",What are some states in the north?,/(Maine|New Hampshire|Vermont|New York|Pennsylvania|Ohio|Michigan|Minnesota|North Dakota|Montana|Idaho|Washington|Alaska)/ig,Maine/ New Hampshire/Vermont/New York/Pennsylvania/Ohio/Michigan/Minnesota/North Dakota/Montana/Idaho/Washington/Alaska,http://upload.wikimedia.org/wikipedia/commons/1/11/Flags-of-usa-and-canada.jpg,88
easy,geography,Name one state that borders Mexico,"The border between the United States and Mexico is about 1,900 miles long and spans four U.S. states— Arizona, California, New Mexico, and Texas. The United States established the border with Mexico after the Mexican-American War and the Gadsden Purchase in 1853. The Gadsden Purchase helped the United States get the land it needed to expand the southern railroad. The United States bought this land for $10 million. The land bought through the Gadsden Purchase is now part of the states of Arizona and New Mexico. The U.S. border with Mexico is one of the busiest international borders in the world. ",What are some states in the south?,/(California|Arizona|New Mexico|Texas)/ig,California/Arizona/New Mexico/Texas,http://upload.wikimedia.org/wikipedia/commons/2/2e/The_Mexican_Flag.jpg,89
easy,geography,What is the capital of the United States?*,"When the Constitution established our nation in 1789, the capital of the United States was in New York City. Congress soon began discussing the location of a permanent capital city. In Congress, representatives of northern states argued with representatives of southern states. Each side wanted the capital to be in its own region. As part of the Compromise of 1790, the capital would be located in the South. In return, the North did not have to pay the debt it owed from the Revolutionary War. George Washington chose a location for the capital along the Potomac River between Maryland and Virginia. As part of the compromise, Philadelphia, Pennsylvania, became the temporary new location for the capital. In 1800, after 10 years, the capital was moved to its current location of Washington, D.C.",It's in the east coast. The capital of the United States is not in a state.,/(DC|Washington DC)/ig,"Washington, DC/ DC",http://upload.wikimedia.org/wikipedia/commons/1/13/WashMonument_WhiteHouse.jpg,90
easy,geography,Where is the Statue of Liberty?*,"The Statue of Liberty is on Liberty Island, a 12-acre island in the New York harbor. France gave the statue to the United States as a gift of friendship. French artist Frederic-Auguste Bartholdi made the statue. It shows a woman escaping the chains of tyranny and holding a torch symbolizing liberty. The Statue of Liberty was dedicated on October 28, 1886, 110 years after the signing of the Declaration of Independence. President Grover Cleveland accepted the gift for the American people. The Statue of Liberty is a well-known symbol of the United States and of freedom and democracy. The Statue of Liberty became a symbol of immigration because it was located next to Ellis Island, which was the first entry point for many immigrants during the great waves of immigration. The Statue of Liberty was the first thing new immigrants saw as they approached New York harbor.",It's somewhere in the Northeast. ,/(New York|Liberty Island)/ig,New York (Harbor)/Liberty Island/near New York,"http://upload.wikimedia.org/wikipedia/commons/d/d3/Statue_of_Liberty,_NY.jpg",91
hard,symbolism,Why does the flag have 13 stripes?,"There are 13 stripes on the flag because there were 13 original colonies. We call the American flag “the Stars and Stripes.” For 18 years after the United States became an independent country, the flag had only 13 stripes. In 1794, Kentucky and Vermont joined the United States, and two stripes were added to the flag. In 1818, Congress decided that the number of stripes on the flag should always be 13. This would honor the original states that were colonies of Great Britain before America’s independence.",How many original colonies were there?,/(13 colonies|thirteen colonies)/ig,13 original colonies/represents 13 colonies,http://upload.wikimedia.org/wikipedia/commons/9/9b/US_Flag_Backlit.jpg,92
hard,symbolism,Why does the flag have 50 stars?*,"Each star on the flag represents a state. This is why the number of stars has changed over the years from 13 to 50. The number of stars reached 50 in 1959, when Hawaii joined the United States as the 50th state. In 1777, the Second Continental Congress passed the first Flag Act, stating, “Resolved, That the flag of the United States be made of thirteen stripes, alternate red and white; that the union be thirteen stars, white in a blue field, representing a new Constellation.” ",How many states are there?,/(50 states|fifty states|(?=.*star)(?=.*state)).*/ig,50 states/one star for each state,http://upload.wikimedia.org/wikipedia/commons/9/9b/US_Flag_Backlit.jpg,93
medium,symbolism,What is the name of the national anthem?,"During the War of 1812, British soldiers invaded the United States. On the night of September 13, 1814, British warships bombed Fort McHenry. This fort protected the city of Baltimore, Maryland. An American named Francis Scott Key watched the bombing and thought that the fort would fall. As the sun rose the next morning, Key looked toward the fort. He saw that the flag above the fort was still flying. This let him know that the British had not defeated the Americans. Key immediately wrote the words to a poem he called the “Defence of Fort M’Henry.” The words of the poem became “The Star-Spangled Banner.” Congress passed a law in 1931 naming “The Star-Spangled Banner” the official national anthem. Here are the words to the first verse of the national anthem:

The Star-Spangled Banner
Oh, say, can you see, by the dawn’s early light,
What so proudly we hailed at the twilight’s last gleaming?
Whose broad stripes and bright stars, thro’ the perilous fight;
O’er the ramparts we watched, were so gallantly streaming.
And the rockets red glare, the bombs bursting in air,
Gave proof through the night that our flag was still there.
Oh, say, does that star-spangled banner yet wave
O’er the land of the free and the home of the brave?
",We hear this song sung right before baseball games.,/(?=.*star)(?=.*spangled)(?=.*banner).*/ig,Star Spangled Banner,http://upload.wikimedia.org/wikipedia/commons/f/f7/Jennifer_Hudson_sings_national_anthem_at_Super_Bowl_43.jpg,94
easy,symbolism,When do we celebrate Independence Day?*,"In the United States, we celebrate Independence Day on July 4 to mark the anniversary of the adoption of the Declaration of Independence. After signing the Declaration of Independence, John Adams wrote to his wife, “I am apt to believe that it will be celebrated, by succeeding Generations, as the great anniversary Festival.” The Declaration of Independence, written by Thomas Jefferson, explained why the colonies had decided to separate from Great Britain. Americans celebrate the Fourth of July as the birthday of America, with parades, fireworks, patriotic songs, and readings of the Declaration of Independence.",When was the Declaration of Independence signed?,/(?=.*(July|7))(?=.*(4|four)).*/ig,July 4th,"http://upload.wikimedia.org/wikipedia/commons/6/68/Fourth_of_July_fireworks_behind_the_Washington_Monument,_1986.jpg",95
easy,symbolism,Name two national US holidays,"Many Americans celebrate national or federal holidays. These holidays often honor people or events in our American heritage. These holidays are “national” in a legal sense only for federal institutions and in the District of Columbia. Typically, federal offices are closed on these holidays. Each state can decide whether or not to celebrate the holiday. Businesses, schools, and commercial establishments may choose whether or not to close on these days. Since 1971, federal holidays are observed on Mondays except for New Year’s Day, Independence Day, Veterans Day, Thanksgiving, and Christmas.","One of the holidays is to celebrate Martin Luther King, Jr.","/^(?:,*\s*(?:(?=.*New)(?=.*Year).*|(?=.*Martin)(?=.*Luther)(?=.*King).*|(?=.*President).*|(?=.*Memorial).*|(?=.*Independence).*|(?=.*Labor).*|(?=.*Columbus).*|(?=.*Veterans).*|(?=.*Thanksgiving).*|(?=.*Christmas).*)){2}/ig","New Year's Day/ Martin Luther King, Jr. Day/ Presidents' Day/ Memorial Day/ Independence Day/ Labor Day/ Columbus Day/ Veterans Day/ Thanksgiving / Christmas",http://upload.wikimedia.org/wikipedia/commons/9/9b/Day122ccountdownbb.JPG,96
